time,GPS1,GPS2,A,B,C
9:50:52,49.74396,13.3705033333333,219,200,104
9:50:52,49.74396,13.3705033333333,219,200,104
9:50:52,49.74396,13.3705033333333,219,200,104
9:50:52,49.74396,13.3705033333333,219,200,104
9:50:52,49.74396,13.3705033333333,219,200,104
9:50:56,49.7440633333333,13.370505,255,200,106
9:50:56,49.7440633333333,13.370505,255,200,106
9:50:56,49.7440633333333,13.370505,255,200,106
9:50:56,49.7440633333333,13.370505,255,200,106
9:50:56,49.7440633333333,13.370505,255,200,106
9:50:56,49.7442083333333,13.370555,127,200,106
9:50:56,49.7442083333333,13.370555,127,200,106
9:50:56,49.7442083333333,13.370555,127,200,106
9:50:56,49.7442083333333,13.370555,127,200,106
9:50:56,49.7442083333333,13.370555,127,200,106
9:50:56,49.7442083333333,13.370555,127,200,106
9:50:56,49.7442083333333,13.370555,127,200,106
9:51:11,49.7446083333333,13.3704966666667,255,200,99
9:51:11,49.7446083333333,13.3704966666667,255,200,99
9:51:11,49.7446083333333,13.3704966666667,255,200,99
9:51:11,49.7446083333333,13.3704966666667,255,200,99
9:51:11,49.7446083333333,13.3704966666667,255,200,95
9:51:11,49.7446083333333,13.3704966666667,255,200,95
9:51:11,49.7446083333333,13.3704966666667,255,200,95
9:51:11,49.7446083333333,13.3704966666667,255,200,95
9:51:11,49.7446083333333,13.3704966666667,255,200,95
9:51:11,49.7446083333333,13.3704966666667,255,200,92
9:51:11,49.7446083333333,13.3704966666667,255,200,92
9:51:11,49.7446083333333,13.3704966666667,255,200,92
9:51:11,49.7446083333333,13.3704966666667,255,200,92
9:51:11,49.7446083333333,13.3704966666667,255,200,92
9:51:11,49.7446083333333,13.3704966666667,255,200,89
9:51:11,49.7446083333333,13.3704966666667,255,200,89
9:51:11,49.7446083333333,13.3704966666667,255,200,89
9:51:12,49.7446083333333,13.3704966666667,255,200,89
9:51:12,49.7446083333333,13.3704966666667,255,200,89
9:51:12,49.7446083333333,13.3704966666667,255,200,86
9:51:12,49.7446083333333,13.3704966666667,255,200,86
9:51:12,49.7446083333333,13.3704966666667,255,200,86
9:51:12,49.7446083333333,13.3704966666667,255,200,86
9:51:12,49.7446083333333,13.3704966666667,255,200,86
9:51:12,49.7446083333333,13.3704966666667,255,200,83
9:51:12,49.7446083333333,13.3704966666667,255,200,83
9:51:12,49.7446083333333,13.3704966666667,255,200,83
9:51:12,49.7446083333333,13.3704966666667,255,200,83
9:51:12,49.7446983333333,13.3705066666667,255,200,83
9:51:12,49.7446983333333,13.3705066666667,255,200,81
9:51:12,49.7446983333333,13.3705066666667,255,200,81
9:51:12,49.7446983333333,13.3705066666667,255,200,81
9:51:12,49.7446983333333,13.3705066666667,255,200,99
9:51:12,49.7446983333333,13.3705066666667,255,200,99
9:51:12,49.7446983333333,13.3705066666667,255,200,99
9:51:12,49.7446983333333,13.3705066666667,255,200,99
9:51:12,49.7446983333333,13.3705066666667,255,200,99
9:51:12,49.7446983333333,13.3705066666667,255,200,95
9:51:13,49.7446983333333,13.3705066666667,255,200,95
9:51:13,49.7446983333333,13.3705066666667,255,200,95
9:51:13,49.7446983333333,13.3705066666667,255,200,95
9:51:13,49.7446983333333,13.3705066666667,255,200,95
9:51:13,49.7446983333333,13.3705066666667,255,200,94
9:51:13,49.7446983333333,13.3705066666667,255,200,94
9:51:13,49.7446983333333,13.3705066666667,255,200,94
9:51:13,49.7446983333333,13.3705066666667,255,200,94
9:51:13,49.7446983333333,13.3705066666667,255,200,94
9:51:13,49.7446983333333,13.3705066666667,255,200,94
9:51:13,49.7446983333333,13.3705066666667,255,200,94
9:51:14,49.7446983333333,13.3705066666667,78,200,122
9:51:14,49.7446983333333,13.3705066666667,78,200,122
9:51:14,49.7446983333333,13.3705066666667,78,200,122
9:51:14,49.7446983333333,13.3705066666667,78,200,122
9:51:14,49.7446983333333,13.3705066666667,78,200,122
9:51:14,49.7446983333333,13.3705066666667,78,200,117
9:51:14,49.7446983333333,13.3705066666667,78,200,117
